,sample_id,sample_size,dragen_runtime,workflow_runtime,actual_cost
0,SRR1291036,85,5898,9319,7.92
1,SRR1291041,75,5677,8874,7.18
2,SRR1293295,100,6362,10275,8.19
3,SRR1295424,79,5734,9223,7.41
4,SRR1295466,82,5856,9126,7.59
5,SRR1295515,81,6722,10253,8.3
6,SRR1295534,102,7464,11848,10.41
7,SRR1295537,101,7226,11288,9.54
8,SRR1295544,99,7389,11485,10.14
9,SRR1295552,102,6129,10363,7.85
10,SRR1295553,98,7301,11680,10.16
11,SRR1295568,105,6721,11247,9.08
12,SRR1298988,80,6066,9564,7.46
