RGID,RGSM,RGLB,Lane,Read1File,Read2File
HG003-pcrFree-1X,HG003-pcrFree-1X,RGLB,1,HG003-pcrFree-1X_S1_L001_R1_001.fastq.gz,HG003-pcrFree-1X_S1_L001_R2_001.fastq.gz
